DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CANTIDAD_PROGRAMAS,TOTAL_MATRICULADOS,NIVELES_DISTINTOS,AREAS_DISTINTAS,NUCLEOS_DISTINTOS,PROMEDIO_MATRICULADOS
AMAZONAS,546,4995,2,8,27,9.148351648351648
ANTIOQUIA,25919,1770270,2,8,62,68.30008873799143
ARAUCA,529,15735,2,7,20,29.744801512287335
ARCHIPIELAGO DE SA,73,1575,2,6,11,21.575342465753426
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,75,1759,2,5,11,23.453333333333333
ATLANTICO,9398,733937,2,8,59,78.09502021706746
BOGOTA D.C,19740,1645741,2,8,55,83.3708713272543
BOGOTA D.C.,20173,1607800,2,8,62,79.7005898973876
BOLIVAR,6566,455583,2,8,60,69.38516600670118
BOYACA,8761,392627,2,8,54,44.81531788608606
CALDAS,5578,297693,2,8,55,53.369128719971314
CAQUETA,1687,71605,2,8,34,42.445168938944875
CASANARE,1992,64788,2,8,40,32.524096385542165
CAUCA,5181,285811,2,8,52,55.16521906967767
CESAR,2748,211590,2,8,48,76.99781659388647
CHOCO,1315,69391,2,8,40,52.76882129277566
CORDOBA,4137,237132,2,8,45,57.31979695431472
CUNDINAMARCA,9042,472845,2,8,52,52.294293297942936
GUAINIA,442,3777,2,8,23,8.54524886877828
GUAJIRA,661,41257,2,8,33,62.4160363086233
GUAVIARE,677,12899,2,8,29,19.05317577548006
HUILA,5304,243467,2,8,49,45.90252639517345
LA GUAJIRA,1444,83962,2,8,41,58.14542936288089
MAGDALENA,3610,224770,2,8,47,62.26315789473684
META,3777,194767,2,8,45,51.56658723854911
NARINIO,1706,84118,2,8,42,49.30715123094959
NARINO,3296,167512,2,8,51,50.82281553398058
NORTE DE SANTANDER,6161,407131,2,8,56,66.08196721311475
PUTUMAYO,1091,30678,2,8,29,28.11915673693859
QUINDIO,2630,172967,2,8,44,65.76692015209126
RISARALDA,4579,294622,2,8,53,64.3419960690107
SAN ANDRES Y PROVI,52,1338,2,5,9,25.73076923076923
SAN ANDRES Y PROVIDENCIA,173,4582,2,6,13,26.485549132947977
SANTANDER,11923,677847,2,8,60,56.85205065839134
SUCRE,2552,138360,2,8,42,54.21630094043887
TOLIMA,5636,302834,2,8,52,53.73207948899929
VALLE DEL CAUCA,15935,1033946,2,8,61,64.88522121117037
VAUPES,78,1297,2,5,7,16.628205128205128
VICHADA,346,4121,2,7,19,11.910404624277456
